x,y
19.0322,-14.2442
17.4929,-1.8702
9.5898,5.6994
11.5384,-9.1452
7.4049,13.4413
9.589,-12.8056
9.0771,-1.8181
2.5152,-21.5781
-47.1838,-2.1477
-24.5998,-14.6058
-7.2587,-9.9258
0.7642,-20.3075
-24.6452,14.6234
-6.5959,9.1951
-0.0333,14.1438
-23.5448,-3.9495
-23.0528,4.7977
-10.2984,0.5064
-0.0958,0.4213
49.7142,-1.6356
18.9298,0.964
19.603,-8.2075
17.4826,10.988
18.7948,-14.4581
17.1851,-2.4071
9.0211,5.6699
11.3657,-9.7754
6.7812,13.7183
9.1942,-13.0791
8.5093,-2.1108
3.1482,-21.9309
-47.2478,-1.8835
-24.345,-14.9511
-7.3029,-10.0594
1.6149,-20.7545
-24.5034,14.2371
-6.6882,9.1453
0.2909,13.531
-23.5327,-4.1126
-23.0453,4.3799
-10.2704,0.3852
0.1234,-0.2916
49.716,-2.0736
18.6984,0.3154
19.2559,-8.6588
17.2476,10.9189
18.5428,-14.9003
16.7677,-2.9631
8.4165,5.6753
11.1885,-10.4151
6.1461,13.9818
8.7743,-13.4509
7.9223,-2.4172
3.7215,-22.2807
-47.2682,-1.7743
-24.0917,-15.3458
-7.3347,-10.3942
2.5769,-21.2099
-24.3112,13.7903
-6.7887,8.8403
0.6954,12.772
-23.4343,-4.43
-23.0373,4.1775
-10.1636,0.1242
0.367,-1.0919
49.7382,-2.5253
18.5305,-0.3584
18.8984,-9.1379
16.8966,10.7709
18.3034,-15.469
16.4228,-3.5373
7.8532,5.6591
11.0046,-11.0575
5.522,14.2373
8.331,-13.8685
7.3054,-2.7578
4.2496,-22.6271
-46.8775,-1.8946
-24.0051,-15.5061
-7.3567,-10.8026
3.5612,-21.7353
-24.1413,13.3675
-6.8821,8.4595
0.8645,12.4416
-23.3838,-4.5895
-23.0359,4.0723
-10.0334,-0.2086
0.4659,-1.3847
49.7357,-2.6953
18.3997,-1.0367
18.4978,-9.7113
16.7507,10.697
18.0584,-16.0728
16.039,-4.0723
7.2278,5.632
10.7927,-11.7179
4.9493,14.4694
7.8537,-14.3117
6.6817,-3.0512
4.7233,-22.9388
-46.7268,-1.9386
-23.7384,-15.7886
-7.38,-11.2431
4.4568,-22.1896
-24.0711,13.2235
-6.9794,8.0436
1.3275,11.8572
-23.2358,-4.8592
-23.0355,4.019
-9.8816,-0.5531
0.8091,-2.0109
49.7355,-2.7687
18.273,-1.7136
18.1281,-10.3383
16.4453,10.5814
17.8163,-16.6834
15.6478,-4.6492
6.617,5.6033
10.5925,-12.4358
4.3632,14.7455
7.3919,-14.7398
6.0711,-3.3345
5.5573,-23.4375
-46.6729,-1.9547
-23.4194,-16.1024
-7.3923,-11.4226
4.7997,-22.3805
-23.8849,12.9144
-7.0161,7.9028
1.9095,11.0948
-23.0239,-5.2003
-22.955,3.7684
-9.8265,-0.6956
1.3038,-2.7668
49.7348,-2.7978
18.0746,-2.3664
17.7433,-10.9319
16.0471,10.4067
17.5414,-17.2838
15.3047,-5.1858
6.0622,5.5779
10.4959,-12.7717
3.7558,15.0375
6.8849,-15.1525
5.4504,-3.6785
6.3121,-23.8895
-46.6526,-1.962
-23.0953,-16.4548
-7.3631,-11.7564
5.5229,-22.7733
-23.6543,12.5132
-6.9212,7.6013
2.6059,10.349
-22.8111,-5.5353
-22.9099,3.65
-9.6484,-0.9642
1.7675,-3.5576
49.7356,-2.8092
17.8891,-3.0332
17.3801,-11.5198
15.8858,10.3209
17.2863,-17.9155
14.95,-5.7987
5.4959,5.5173
10.4466,-12.9259
3.1117,15.3047
6.3882,-15.5693
4.812,-4.046
7.0272,-24.3108
-46.6168,-2.3664
-22.7138,-16.8116
-7.3327,-12.1669
6.3573,-23.1908
-23.5655,12.3482
-6.7661,7.2569
2.8747,10.0664
-22.5575,-5.9041
-22.7364,3.3855
-9.4461,-1.2877
1.9598,-3.8986
49.7358,-2.8136
17.8096,-3.3111
17.0132,-12.1122
15.8178,10.2911
17.0279,-18.5972
14.5904,-6.3831
4.9068,5.442
10.4194,-13.3619
2.4683,15.5551
5.9155,-15.9496
4.1716,-4.3185
7.7102,-24.7248
